Label,2,In English
Shipping cost conversion rate,Коэффициент пересчета стоимости доставки,Shipping cost conversion rate
International U.S.P.S.,Международные U.S.P.S.,International U.S.P.S.
Type of mail,Тип почтового отправления,Type of mail
Container (International Rates),Контейнер (международные тарифы),Container (International Rates)
Domestic U.S.P.S.,Внутренние U.S.P.S.,Domestic U.S.P.S.
Services,Услуги,Services
Select all,Выберите все,Select all
"""Ground Only"" indicator for ""Standard Post"" service","Индикатор ""Только наземная перевозка"" для услуги ""Стандартная почтовая доставка""","""Ground Only"" indicator for ""Standard Post"" service"
Ground transportation required,Требуется наземная перевозка,Ground transportation required
Ground transportation not required,Наземная перевозка не требуется,Ground transportation not required
Machinable,Подходит для упаковочных машин,Machinable
Container (Express Mail),Контейнер (экспресс-почта),Container (Express Mail)
None,Нет,None
Container (Priority Mail),Контейнер (срочная почта),Container (Priority Mail)
Apply,Применить,Apply
Type of delivery,Тип доставки,Type of delivery
Type of pickup,Тип получения,Type of pickup
Package type,Тип упаковки,Package type
Nature of Shipment Contents,Тип содержимого отправления,Nature of Shipment Contents
Package CODValue in cents,Доставка посылки до двери стоимость в центах,Package CODValue in cents
Optional services,Дополнительные услуги,Optional services
Should not exceed,Не должно превышать,Should not exceed
Your Canada Post commercial customer number,Ваш номер коммерческого клиента Canada Post,Your Canada Post commercial customer number
Shipping cost convertion rate,Курс конвертации стоимости доставки,Shipping cost convertion rate
Package options,Варианты посылки,Package options
Coverage,Наложенный платеж,Coverage
COD,Оплата при доставке,COD
Packaging type,Тип упаковки,Packaging type
Ship in a specified number of days,Отправка в течение определенного количества дней,Ship in a specified number of days
Additional protection type,Тип дополнительной защиты,Additional protection type
Additional protection value in $,Стоимость дополнительной защиты в $,Additional protection value in $
Hazardous Materials,Опасные материалы,Hazardous Materials
COD payment,Оплата при доставке,COD payment
COD value in $,Стоимость оплаты при доставке в $,COD value in $
"Always use the same package dimensions as specified in the ""Maximum package dimensions"" fields","Всегда используйте те же размеры посылки, которые указаны в полях ""Максимальные размеры посылки""","Always use the same package dimensions as specified in the ""Maximum package dimensions"" fields"
Warehouse name,Название склада,Warehouse name
Change info,Изменить информацию,Change info
Zip code,Почтовый индекс,Zip code
Business hours,Рабочие часы,Business hours
Operation days,Рабочие дни,Operation days
Username,Имя пользователя,Username
Ready time,Время готовности,Ready time
Subsidizing rate,Субсидированная ставка,Subsidizing rate
1-800Courier options are empty,Варианты 1-800Courier отсутствуют,1-800Courier options are empty
Payment methods,Способы оплаты,Payment methods
Payment method,Способ оплаты,Payment method
Comment,Комментарий,Comment
Mode,Режим,Mode
Params,Параметры,Params
Order by,Заказ по,Order by
Test,Тест,Test
Live,Онлайн,Live
Search again,Повторный поиск,Search again
Users search results,Результаты поиска пользователя,Users search results
User name,Имя пользователя,User name
User email,Электронная почта пользователя,User email
User role,Роль пользователя,User role
Administrator,Администратор,Administrator
Customer,Клиент,Customer
Not active,Не активен,Not active
No users found,Пользователи не найдены,No users found
Users management,Управление пользователями,Users management
Search for,Искать,Search for
Search in,Поиск в,Search in
Role,Роль,Role
Pending membership,Членство на рассмотрении,Pending membership
Search,Поиск,Search
Fisrtname,Имя,Fisrtname
Sign up for membership,Оформить членство,Sign up for membership
Add to cart,Добавить в корзину,Add to cart
Move product here,Переместить товар сюда,Move product here
See more details,Посмотреть подробности,See more details
Product details,Подробности о товаре,Product details
List price,Цена по прейскуранту,List price
Product options,Параметры товара,Product options
"Please, select all options.","Пожалуйста, выберите все опции.","Please, select all options."
Price,Цена,Price
Qty,Кол-во,Qty
Out of stock,Нет в наличии,Out of stock
Wholesale Price Breaks,Оптовые цены,Wholesale Price Breaks
Description,Описание,Description
Related products,Похожие товары,Related products
Recommended products,Рекомендуемые товары,Recommended products
Send to friend,Отправить другу,Send to friend
Your name,Ваше имя,Your name
Friend E-mail,Электронная почта друга,Friend E-mail
Add personal message,Добавить личное сообщение,Add personal message
No pages,Нет страниц,No pages
Page title,Название страницы,Page title
Clean URL,Чистый URL,Clean URL
Page content,Содержание страницы,Page content
Title tag,Тег заголовка,Title tag
Meta keywords,Мета-тег keywords,Meta keywords
Meta description,Мета-описание,Meta description
Category disabled,Категория отключена,Category disabled
Delete category,Удалить категорию,Delete category
List of subcategories,Список подкатегорий,List of subcategories
Category name,Название категории,Category name
Subcategories,Подкатегории,Subcategories
No categories,Нет категорий,No categories
Edit,Редактировать,Edit
Modify selected,Изменить выбранную категорию,Modify selected
Add new category,Добавить новую категорию,Add new category
Featured products,Рекомендуемые товары,Featured products
No featured products in this category,В этой категории нет рекомендуемых товаров,No featured products in this category
Add product,Добавить товар,Add product
Browse...,Загрузить...,Browse...
Details,Подробности,Details
Banners,Баннеры,Banners
Banner,Баннер,Banner
Link,Ссылка,Link
Alt,Alt,Alt
No banners for this category,Нет баннеров для этой категории,No banners for this category
Title,Заголовок,Title
Category icon,Значок категории,Category icon
Delete icon,Удалить значок,Delete icon
Category location,Расположение категории,Category location
Order #ID,Идентификатор заказа,Order #ID
Search by date,Поиск по дате,Search by date
All dates,Все даты,All dates
Date period,Диапазон дат,Date period
Reset filter,Сбросить фильтр,Reset filter
Search results,Результаты поиска,Search results
Recent orders,Последние заказы,Recent orders
Date,Дата,Date
New blog comment has been posted,Опубликован новый комментарий в блоге,New blog comment has been posted
Blog comment(s),Комментарий(и) блога,Blog comment(s)
This operation will delete selected blogs with all messages.,Эта операция удалит выбранные блоги со всеми сообщениями.,This operation will delete selected blogs with all messages.
Authors,Авторы,Authors
New blog,Новый блог,New blog
Author,Автор,Author
Added,Добавлено,Added
Image,Изображение,Image
Delete image,Удалить изображение,Delete image
Short description,Краткое описание,Short description
Detailed description,Подробное описание,Detailed description
Meta title,Мета-тег title,Meta title
Blog comments,Комментарии в блоге,Blog comments
Delete this comment?,Удалить этот комментарий?,Delete this comment?
Decline,Отклонить,Decline
Approve,Утвердить,Approve
No blog comments yet,В блоге пока нет комментариев ,No blog comments yet
Add new/edit,Добавлять новые/редактировать,Add new/edit
No brands found,Бренды не найдены,No brands found
Go to comments,Перейти к комментариям,Go to comments
Leave a comment,Оставить комментарий,Leave a comment
Quote,Цитировать,Quote
Comment from,Комментарий от,Comment from
Commented on,Прокомментировал,Commented on
No comments yet,Комментариев нет,No comments yet
You should be a registered user to leave a comment.,"Вы должны быть зарегистрированным пользователем, чтобы оставить комментарий.",You should be a registered user to leave a comment.
Read blog,Читать блог ,Read blog
No topics yet,Тем пока нет,No topics yet
Import search keywords,Импортировать ключевые слова для поиска,Import search keywords
Google sitemap,Карта сайта Google,Google sitemap
Generate sitemap,Сгенерировать карту сайта,Generate sitemap
No products found,Товары не найдены,No products found
No banners for  homepage,Нет баннеров для главной страницы,No banners for  homepage
In stock,В наличии,In stock
Additional categories,Дополнительные категории,Additional categories
Brand,Бренд,Brand
Available,Доступно,Available
Not available,Нет в наличии,Not available
"Hidden, but available for sale","Скрыт, но доступен для продажи","Hidden, but available for sale"
Keywords,Ключевые слова,Keywords
drop_files_to_upload,drop_files_to_upload,drop_files_to_upload
Photos,Фотографии,Photos
Photo,Фото,Photo
Upload new,Загрузить новое,Upload new
Text,Текст,Text
Type,Тип,Type
Options group,Группа опций,Options group
Text option,Параметр текста,Text option
Display type,Тип отображения,Display type
Select box,Поле выбора,Select box
Squares,Квадраты,Squares
Radio buttons list,Список кнопок для выбора опций,Radio buttons list
Text area,Текстовая область,Text area
Input box,Поле ввода,Input box
Variant,Вариант,Variant
Group options,Групповые опции,Group options
Price modifier,Модификатор цены,Price modifier
Weight modifier,Модификатор веса,Weight modifier
Percent,Процент,Percent
Absolute,Абсолютный,Absolute
Add option group,Добавить группу опций,Add option group
Option group,Группа опций,Option group
Options exceptions,Исключения опций,Options exceptions
Add exception,Добавить исключение,Add exception
Filter variants,Фильтр вариантов,Filter variants
Product title,Название товара,Product title
Supplier Code,Код поставщика,Supplier Code
Quantity per box,Количество в коробке,Quantity per box
Supplied As,Поставляется как,Supplied As
Wholesale,Оптовая продажа,Wholesale
Default,По умолчанию,Default
Quantity,Количество,Quantity
Restore,Восстановить,Restore
New variant,Новый вариант,New variant
Create all possible variants,Создать все возможные варианты,Create all possible variants
Are you sure to delete this image?,"Вы уверены, что хотите удалить это изображение?",Are you sure to delete this image?
Upload images,Загрузить изображения,Upload images
No shipping methods to your area available,Нет доступных способов доставки в ваш регион,No shipping methods to your area available
Your comments,Ваши комментарии,Your comments
Have a discount coupon?,У вас есть купон на скидку?,Have a discount coupon?
Place order,Разместить заказ,Place order
Checkout,Оформить заказ,Checkout
Continue,Продолжить,Continue
Clear cart,Очистить корзину,Clear cart
Cart is empty,Корзина пуста,Cart is empty
Continue shopping,Продолжить покупки,Continue shopping
View cart,Просмотреть корзину,View cart
All testimonials,Все отзывы,All testimonials
Bestsellers,Бестселлеры,Bestsellers
Most viewed,Самые популярные товары,Most viewed
New arrivals,Новые поступления,New arrivals
Account,Аккаунт,Account
Log out,Выйти из системы,Log out
Brands,Бренды,Brands
Blog,Блог,Blog
About,О сайте,About
Categories,Категории,Categories
Terms & Conditions,Правила и условия,Terms & Conditions
Search by substring,Поиск по подстроке,Search by substring
Advanced search,Расширенный поиск,Advanced search
Search in category,Поиск в категории,Search in category
as,как,as
Main category,Основная категория,Main category
Additional category,Дополнительная категория,Additional category
also search in subcategories,также искать в подкатегориях,also search in subcategories
Search by brand,Поиск по бренду,Search by brand
Product #ID,Идентификатор товара,Product #ID
Weight (lbs),Вес (кг),Weight (lbs)
Availability,Доступность,Availability
Available for sale,Доступно для продажи,Available for sale
New brand,Новый бренд,New brand
Ajax Cart,SPA-корзина,SPA-Cart
Profile,Профиль,Profile
foot_advertising,foot_advertising,foot_advertising
foot_help,foot_help,foot_help
site_terms,site_terms,site_terms
foot_about,foot_about,foot_about
footer_search,footer_search,footer_search
error_error,error_error,error_error
Dashboard,Приборная панель,Dashboard
Orders and discounts,Заказы и скидки,Orders and discounts
Discount coupons,Купоны на скидку,Discount coupons
Discounts,Скидки,Discounts
Users,Пользователи,Users
Browse users,Просмотр пользователей,Browse users
Create new user,Создать нового пользователя,Create new user
Membership levels,Уровни членства,Membership levels
Catalog,Каталог,Catalog
Add new product,Добавить новый товар,Add new product
Import catalog,Импорт каталога,Import catalog
Export catalog,Экспорт каталога,Export catalog
Content,Содержание,Content
Static pages,Статичные страницы,Static pages
Homepage,Домашняя страница,Homepage
Shipping and payment,Доставка и оплата,Shipping and payment
Countries/States,Страны/регионы,Countries/States
Configuration,Конфигурация,Configuration
General settings,Общие настройки,General settings
Blog settings,Настройки блога,Blog settings
Language labels,Метки языка,Language labels
Modules,Модули,Modules
Support desk,Служба поддержки,Support desk
Newsletter,Рассылка новостей,Newsletter
Guest book,Гостевая книга,Guest book
Mass products modifier,Модификатор массовых товаров,Mass products modifier
SEO,SEO,SEO
Search keywords,Ключевые слова для поиска,Search keywords
Back to customer area,Вернуться в клиентскую зону,Back to customer area
public,публичный,public
private,частный,private
for_subscribers,for_subscribers,for_subscribers
for_friends,for_friends,for_friends
for_friends_and_their_friends,for_friends_and_their_friends,for_friends_and_their_friends
file_too_big,file_too_big,file_too_big
bad_image_type,bad_image_type,bad_image_type
bad_images,bad_images,bad_images
Click the <b>Update</b><br />button to complete<br />removing,"Нажмите кнопку <b>Update</b><br />,  что завершить удаление <br />",Click the <b>Update</b><br />button to complete<br />removing
"Please, enter your comment.","Пожалуйста, введите ваш комментарий.","Please, enter your comment."
"Please, enter your name","Пожалуйста, введите ваше имя","Please, enter your name"
blog_bbcode_b,Жирным,blog_bbcode_b
blog_bbcode_i,Наклон,blog_bbcode_i
blog_bbcode_u,Подчеркнуто,blog_bbcode_u
blog_bbcode_s,Зачеркнуто,blog_bbcode_s
blog_bbcode_url,Ссылка,blog_bbcode_url
blog_bbcode_email,Почта,blog_bbcode_email
blog_bbcode_img,Картинка,blog_bbcode_img
blog_bbcode_list,Лист,blog_bbcode_list
blog_bbcode_li,Элемент листа,blog_bbcode_li
blog_bbcode_quote,Цитата,blog_bbcode_quote
blog_bbcode_code,Код,blog_bbcode_code
"Please, enter category title","Пожалуйста, введите название категории","Please, enter category title"
p_restored,p_restored,p_restored
Clear all,Очистить все,Clear all
Price Per Unit,Цена за единицу,Price Per Unit
This options combination is not available,Такое сочетание опций недоступно,This options combination is not available
Option Not Available in Combination with,Опция недоступна в сочетании с,Option Not Available in Combination with
Option Not Available,Опция недоступна,Option Not Available
"Please, select options","Пожалуйста, выберите варианты","Please, select options"
ok,Ок,ok
"Please, wait we are connecting you to PayPal","Пожалуйста, подождите, мы подключаем вас к PayPal","Please, wait we are connecting you to PayPal"
Brand name cannot be empty,Название бренда не может отсутствовать,Brand name cannot be empty
Administration,Управление ,Administration
Successful,Успешно,Successful
Label,Перевод,Translation
Contact form,Форма обратной связни,Contact form
Your letter has been sent. We will contact you as soon as possible.,Ваше письмо было отправлено. Мы свяжемся с вами как можно скорее.,Your letter has been sent. We will contact you as soon as possible.
Message from,Сообщение от,Message from
Your password,Ваш пароль,Your password
Dear,Дорогой,Dear
To set new password,Чтобы установить новый пароль,To set new password
click here,нажмите здесь,click here
Link to change password sent to your email,Ссылка для смены пароля была отправлена на ваш email,Link to change password sent to your email
New password,Новый пароль,New password
Confirm password,Подтвердите пароль,Confirm password
Passwords mismatch,Пароли не совпадают,Passwords mismatch
Change,Изменить,Change
"Please, enter","Пожалуйста, введите","Please, enter"
"Please, enter correct confirm password field","Пожалуйста, введите в поле правильный пароль для подтверждения","Please, enter correct confirm password field"
"Please, set your password","Пожалуйста, установите пароль","Please, set your password"
Set your password,Установить пароль,Set your password
Category details,Подробности категории,Category details
Pages,Страницы,Pages
About CMS,О CMS,About CMS
Contact,Контакты,Contact
View,Посмотреть,View
Images,Изображения,Images
Wholesale pricing,Оптовые цены,Wholesale pricing
Recommended,Рекомендуемые,Recommended
Newest,Новые,Newest
added to cart.,Добавлено в корзину.,added to cart.
Move me to cart,Добавь меня в корзину,Move me to cart
Language labels imported successful,Метки языка успешно импортированы,Language labels imported successful
Error,Ошибка,Error
Blogs,Блоги,Blogs
Selected options,Выбранные параметры,Selected options
Previous page,Предыдущая страница,Previous page
added to cart,добавлено в корзину,added to cart
Order #,Заказ №,Order #
New testimonial,Новый отзыв,New testimonial
Variants,Варианты ,Variants
Variants Images,Варианты,Variants Images
Products variants,Варианты товаров ,Products variants
Thank you for recommending our product to your friend.,Благодарим вас за рекомендацию нашей продукции своим друзьям.,Thank you for recommending our product to your friend.
You cannot order below ,Вы не можете сделать заказ ниже ,You cannot order below 
login_incorrect,"Попытка входа не удалась. Если вы забыли пароль, <a href=""#"" onclick=""$('.alerts').remove(); return restore_password()"">нажмите здесь</a>.","Login attempt incorrect. If you forgot password, <a href=""#"" onclick=""$('.alerts').remove(); return restore_password()"">click here</a>"
Call Us,Свяжитесь с нами,Call Us
Brand not found,Бренд не найден,Brand not found
Browse by module,Просмотреть по модулю,Browse by module
Browse by role,Просмотреть по ролям,Browse by role
Cart,Корзина,Cart
Logout,Выход,Logout
Tasks,Задания,Tasks
No tasks in this category,В этой категории нет заданий,No tasks in this category
What specific area to you want to get covered,Какую конкретную область вы хотите охватить,What specific area to you want to get covered
Proceed,Продолжить,Proceed
Found menus,Найденные меню,Found menus
Found tasks,Найденные задания,Found tasks
No results found,Результаты не найдены,No results found
Product has been added to your cart.,Товар был добавлен в вашу корзину.,Product has been added to your cart.
MySQL error happens.,Произошла ошибка MySQL.,MySQL error happens.
Category banners,Баннеры категорий,Category banners
News,Новости,News
This operation will delete selected news.,Эта команда удалит выбранные новости.,This operation will delete selected news.
New news,Свежие новости,New news
Total subscribers,Общее количество подписчиков,Total subscribers
This operation will delete selected letters.,Эта команда удалит выбранные письма.,This operation will delete selected letters.
